IDENT,PROBLEM,ACTION
102002,ENGINE FAILURE WHILE HOLDING SHORT. THROTTLE WAS IDLE.,"RAN A/C. MAG, IDLE RPM & IDLE MIXTURE CK GOOD. INSPECTE"
102003,CYL #4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
102004,CYL #4 HAS LOW COMPRESSION.,"RECHECKED COMPRESSIONS AFTER POST RUN, OPS CK GOOD."
102005,#2 INTAKE GASKET LEAKS.,REMOVED & REPLACED INTAKE GASKET.
102006,#2 ROCKER COVER LEAKS.,REMOVED & REPLACED ROCKER COVER GASKET.
102007,#4 INTAKE LEAKING.,REPLACED GASKET.
102008,ALL ROCKER COVERS HAVE LOOSE SCREWS.,TIGHTENED ALL SCREWS.
102009,RIVET SHEARED @ R/H AFT BAFFLE.,REMOVED & REPLACED SHEARED RIVET.
102010,RIVET SHEARED @ R/H AFT BAFFLE.,"REPLACED UPPER BAFFLE MATERIAL RIVET, INSTALLED NEW SCR"
102011,"ROCKER COVERS 2, 3 & 4 LEAKING.","REMOVED ROCKER COVERS, CLEANED MATING SURFACES, INSTALL"
102012,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102013,L/H #3 ROCKER COVER LEAKING.,FOR CORRECTIVE ACTION.
102014,#2 ENGINE LEFT REAR BAFFLE CRACKED @ INTER-CYLINDER CONNECT,INSTALLED SHEET METAL DOUBLER & STOP DRILLED.
102015,#2 ROCKER GASKET IS LEAKING.,REPLACED GASKET.
102016,#1 & 3 BAFFLE TIE WIRE LOOSE.,RESECURED TIE WIRE.
102017,#2 & 4 INTAKE GASKETS ARE LEAKING.,REPLACED GASKETS.
102018,BOLT MISSING CONNECTING UPPER ENDS OF #3 & 4 AFT BAFFLES.,"INSTALLED NEW BOLT, WASHER & NUT."
102019,R/H REAR ENGINE BAFFLE MOUNTING SCREW LOOSE.,TIGHTENED SCREW.
102020,CRACKED FRONT UPPER R/H SIDE ENG BAFFLE ON #1 CYL.,"REMOVED OLD CRACKED PATCH, RIVETED NEW PATCH ON BAFFLE"
102021,#4 ROCKER GASKET IS LEAKING.,REPLACED ROCKER GASKET.
102022,"ON APPROACH, ENGINE ROUGHNESS ABOUT 7 - 10 SECS. ADJUSTED MI","PERFORMED GROUND RUN, ALL SYSTEMS OPS CK'ED GOOD."
102023,"ON APPROACH, ENGINE ROUGHNESS ABOUT 7 - 10 SECS. ADJUSTED MI","INSPECTED ENGINE, FOUND CYL #2 INTAKE LEAK. REMOVED & R"
102024,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL","RAN A/C, ENGINE RAN VERY ROUGH. #2 & 3 EGT'S WERE MUCH"
102025,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL","INSPECTED, FOUND EXHAUST VALVE CONTACTED PISTON. BEGAN"
102026,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL","REAMED EXHAUST VALVE GUIDES ON #1, 2 & 4 CYLINDERS IAW"
102027,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL","RAN ENGINE, OPS & LEAK CK GOOD. INSTALLED COWL & ""MINER"
102028,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL",INSTALLED BAFFLES. DIRECT DRIVE OVERH
102029,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL",REMOVED #3 AFT CYL ASS & INSTALLED REPAIRED CYL ASSY KI
102030,ENGINE COWL DZUS FASTENERS NEED RETAINERS.,INSTALLED FASTENERS.
102031,"R/H ENGINE SHUT DOWN ON LANDING, WAS ABLE TO RESTART & TAXI","RAN UP ENGINE, ADJUSTED MIXTURE & IDLE, OPS CK GOOD."
102032,#2 INTAKE ON R/H ENGINE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102033,R/H ENG #3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102034,#2 & 4 ROCKER COVER ON R/H ENG LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102035,L/H ENG #3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET ON L/H ENG #3.
102036,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE,GROUND RUN CHECKS GOOD.
102037,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE,REMOVED ALL 4 INJECTOR NOZZLES. ULTRASONICALLY CLEANED
102038,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE,TIMED BOTH MAGS TO ENGINE & TORQUED HOLD DOWNS. GROUND
102039,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE,GROUND RAN A/C & FOUND NO ROUGH ENGINE. CK'ED MAG TIMIN
102040,R/H ENG #3 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
102041,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
102042,#4 CYL SIDE BAFFLE ON L/H ENG IS MISSING A BOLT.,INSTALLED NEW BOLT.
102043,"L/H ENG, R/H FWD BAFFLE SEAL IS LOOSE.",REMOVED & REPLACED BAFFLE SEAL W/ NEW.
102044,L/H ENG #1 CYL INTAKE LEAKS.,REPLACED GASKET.
102045,L/H ENG #3 CYL COMPRESSION IS LOW.,RUN UP LEAK CK GOOD.
102046,L/H ENG #3 CYL COMPRESSION IS LOW.,"COMPLETED INSTALL OF #3 CYL, LINES & BAFFLES."
102047,L/H ENG #3 CYL COMPRESSION IS LOW.,ATTEMPTED STAKING VALVES - COMPRESSION STILL 35/80.
102048,L/H ENG #3 CYL COMPRESSION IS LOW.,REMOVED BAFFLES & LINES. REMOVED #3 CYL. INSTALLED REPA
102049,"R/H ENG #1 CYL INTAKE GASKET LEAKING, ALONG W/ #2 & 4.",REMOVED & REPLACED R/H INTAKE GASKETS.
102050,#2 & 4 ROCKER COVERS LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS ON L/H ENG.
102051,ALL 4 VALVE COVERS LEAKING ON R/H ENGINE.,REMOVED & REPLACED ALL 4 ROCKER COVER GASKETS ON R/H EN
102052,LEFT BAFFLE PLUG IS WORN.,REPLACED PLUG.
102053,CRACK ON OIL COOLER FLANGE.,STOP DRILLED CRACK.
102054,INTAKES 1 & 3 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102055,CYL #4 ROCKER COVER GASKET IS LEAKING.,TIGHTENED SCREWS.
102056,CYL #1 & 3 BOTTOM BAFFLE IS CRACKED @ TIE ROD.,FABRICATED PATCH OF LIKE MATERIAL & INSTALLED IAW
102057,#3 CYL ROCKER BOX COVER SCREW MISSING.,"INSTALLED NEW SCREW, CK'ED & TIGHTENED ALL ROCKER BOX C"
102058,#4 INTAKE LEAKING @ OIL SUMP.,SWAGED TUBE.
102059,#4 INTAKE LEAKING @ OIL SUMP.,LEAK CK GOOD.
102060,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
102061,INTAKE GASKET CYL #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102062,ROCKER COVER GASKETS CYL #2 & 4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102063,AFT ENGINE BAFFLE WORN FROM RUBBING.,REPOSITIONED LEFT BAFFLE TO CLEAR FROM ENGINE CASING. D
102064,#1 CYL BAFFLE NOT BEHIND CYLINDER NUT - INCORRECT INSTALL.,PUT IN PROPER POSITION.
102065,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102066,L/H ENG #3 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.
102067,R/H ENG #3 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.
102068,L/H ENG #3 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.
102069,SCREW MISSING IN #3 SIDE BAFFLE.,REPLACED SCREW.
102070,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102071,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102072,"COOLING BAFFLE ATTACHMENT BRACKET, BEHIND OIL FILL TUBE, IS",FINISHED BAFFLE INSTALL.
102073,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP L/H SIDE.,REATTACHED BAFFLE SEAL ON TOP L/H SIDE.
102074,"COOLING BAFFLE ATTACHMENT BRACKET, BEHIND OIL FILL TUBE, IS",INSTALLED NEW BRACKET & STARTED REINSTALLING BAFFLE.
102075,#1 ROCKER GASKET SEEPING.,INSTALLED FRESH GASKET.
102076,CYL #4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102077,#1 INTAKE GASKET TORN.,REMOVED & REPLACED #1 INTAKE GASKET.
102078,#1 & 3 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102079,#4 ROCKER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.
102080,#3 PUSH ROD SEALS LEAKING.,"REPLACED SEALS, LEAK CK GOOD."
102081,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
102082,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
102083,#1 INTAKE IS LEAKING AT OIL SUMP.,"CLEANED, REMOVED TUBE (UPPER) & RESWAGED LOWER TUBE IN"
102084,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102085,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102086,#2 ROCKER COVER GASKET SEEPING.,INSTALLED NEW ROCKER COVER GASKET.
102087,"ROCKER COVER GASKET, ON CYL #3, LEAKING.",REMOVED & REPLACED ROCKER COVER GASKET.
102088,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102089,THROTTLE LINKAGE @ SERVO IS SLOPPY.,REPLACED THROTTLE LINKAGE ARM.
102090,CYL #1 & 3 SIDE BAFFLE BOLT IS LOOSE.,TIGHTENED LOOSE BOLT & RESAFETIED.
102091,ENGINE AFT R/H GROUND STRAP NEEDS TO BE SECURED.,SECURED ENGINE GROUND STRAP.
102092,CYL #1 & 3 BOTTOM BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH OF LIKE MATERIAL &"
102093,R/H ENG #2 & 4 SIDE BAFFLE SEALS ARE TORN.,INSTALLED FRESH BAFFLE SEAL.
102094,R/H ENG #2 & 4 INTAKE GASKETS ARE LEAKING.,"REMOVED & REPLACED INTAKE GASKETS, R/H ENG."
102095,"#2 & 4 INTAKE GASKETS ARE LEAKING, L/H ENG.","REMOVED & REPLACED INTAKE GASKETS, L/H ENG."
102096,"#2, 3 & 4 ROCKER GASKETS ARE LEAKING, L/H ENG.","REMOVED & REPLACED ROCKER GASKETS, L/H ENG."
102097,R/H ENG #2 & 3 ROCKER GASKETS ARE LEAKING.,"REMOVED & REPLACED ROCKER COVER GASKETS, R/H ENG."
102098,SCREW BEHIND OIL FILLER TUBE LOOSE.,LEAK CK OK.
102099,SCREW BEHIND OIL FILLER TUBE LOOSE.,"REMOVED OIL FILLER TUBE, TOP OIL COOLER LINE, SECURED S"
102100,SPARK PLUG CAP LOOSE ON #3 BOTTOM SPARK PLUG.,TIGHTENED CAP ON #3 BOTTOM SPARK PLUG.
102101,L/H ENGINE #3 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED GASKETS.
102102,L/H ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
102103,"R/H ENG CYL #2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED R/H ENG INTAKE GASKETS.
102104,TOOL ON TOP OF ENGINE BETWEEN CYLINDERS,REMOVED TOOL
102105,#3 CYL BAFFLE IS MISSING SCREW ON BRACKET.,INSTALLED NEW SCREW.
102106,CYL #2 ROCKER COVER GASKET DAMAGED.,REMOVED & REPLACED ROCKER COVER GASKET.
102107,#2 INTAKE LEAKING.,REPLACED #2 INTAKE GASKET.
102108,L/H ENG #3 BAFFLE (AFT) SEAL LOOSE.,"SECURED #3 BAFFLE SEAL, L/H."
102109,#2 & 4 SIDE BAFFLE SEALS TORN ON R/H ENGINE.,REPAIRED #2 & 4 BAFFLE SEALS ON R/H SIDE.
102110,#1 INDUCTION TUBE GASKET LEAKING.,REPLACED INTAKE GASKET.
102111,BOTH L/H & R/H BAFFLE PLUGS WORN.,INSTALLED NEW BAFFLE PLUGS.
102112,BROKEN ANCHOR ASSY ON #1 CYL.,REMOVED & REPLACED ANCHOR ASSY ON #1 CYL.
102113,#2 CYL FWD BAFFLE CRACKED.,"DISASSEMBLED AS REQUIRED, DETERMINED BAFFLE WAS PREVIOU"
102114,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
102115,#2 & 3 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER GASKETS.
102116,#3 & 4 INTAKE GASKETS ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
102117,R/H ENG #2 STACK BROKEN OFF.,REMOVED & REPLACED STACK.
102118,INTAKE GASKET #4 IS LEAKING.,INSTALLED NEW INTAKE GASKET.
102119,#2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102120,"SCREW MISSING ON ENGINE COOLING BAFFLE, R/H SIDE NEXT TO OIL",INSTALLED NEW SCREW.
102121,"DURING HIGH SPEED ROLL, A/C HAD STRONG VIBRATION.","RAN & TAXIED A/C. PERFORMED COMPRESSION CK. CLEANED, GA"
102122,#2 & 3 INTAKE GASKETS LEAKING.,"REPLACED GASKETS, LEAK CK GOOD."
102123,"AFTER 20"" MANIFOLD PRESSURE, APPLIED FULL THROTTLE, STARTED","WARMED UP BOTH ENGINES, OPS CK'ED BOTH ENGINES NOTING N"
102124,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
102125,#4 & 2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED INTAKES.
102126,"CYL #2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
102127,"CYL #2, 3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
102128,CYL #4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
102129,CYL #1 WIRING HARNESS SUPPORT BRACKET IS BROKEN.,REMOVED & REPLACED STAND OFF.
102130,AIR INDUCTION ELBOW TO SERVO BOOT IS WEEPING FUEL.,"REMOVED, DISASSEMBLED, CLEANED & INSPECTED BOOT, NO DEF"
102131,#3 CYL ROCKER GASKET SEEPING.,INSTALLED FRESH GASKET.
102132,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102133,"#1, 3 & 4 ROCKER COVERS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
102134,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102135,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
102136,#2 INTAKE LEAKING.,REPLACED GASKET.
102137,2 BAFFLE PLUGS NEEDS TO BE REPLACED.,REPLACED PLUGS.
102138,#2 SIDE BAFFLE SEAL STAPLES LOOSE.,TIGHTENED/RECRIMPED STAPLES.
102139,#2 & 4 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. LEAK CK GOOD.
102140,ENGINE COULD NOT START.,STARTED BOTH ENGINES USING NORMAL PROCEDURES.
102141,#3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102142,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102143,#4 CYL COMPRESSION 15/80.,"RAN A/C, OPS & LEAK CK GOOD."
102144,#4 CYL COMPRESSION 15/80.,SERVICED W/ 8 QTS MINERAL OIL.
102145,#4 CYL COMPRESSION 15/80.,"DISCONNECTED #4 CYL FUEL & OIL LINES, INTAKE, EXHAUST S"
102146,#4 CYL COMPRESSION 15/80.,INSTALLED CYL #4 PUSH RODS & LIFTED ASSY. REINSTALLED C
102147,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102148,COWL SHOCK MOUNT #7 DAMAGED.,REMOVED & REPLACED COWL SHOCK MOUNT.
102149,R/H AFT BAFFLE BRACKET SCREW MISSING.,"REMOVED OIL FILLER TUBE, LOCATED & REINSTALLED BAFFLE S"
102150,MISSING SCREW ON L/H ENG #3 BAFFLE.,REPLACED #3 BAFFLE SCREW ON L/H ENG.
102151,#3 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED #3 INTAKE GASKET ON L/H ENGINE.
102152,"#3 & 4 INTAKE GASKETS LEAKING, R/H ENGINE.",REMOVED & REPLACED R/H ENGINE INTAKE GASKETS.
102153,INTAKE GASKET TO CYL #1 IS LEAKING.,INSTALLED NEW INTAKE GASKET.
102154,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
102155,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
102156,CYL #4 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
102157,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
102158,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
102159,"INTAKE GASKET, CYL #2, LEAKING.",REMOVED & REPLACED INTAKE GASKET.
102160,ROCKER COVER GASKET CYL #3 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102161,R/H AFT BAFFLE SCREW MISSING.,"LOCATED & REINSTALLED SCREW. REMOVED OIL FILLER TUBE, I"
102162,"CYL #2, 3, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED ROCKER COVER GASKET.
102163,#1 & 3 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102164,AIR INLET TUBE DAMAGED.,REMOVED & REPLACED AIR INLET.
102165,"WHILE MAKING RIGHT TURN, CLIMBING OUT - HEARD LOUD KNOCK, CO","INSPECTED ENGINE, CABIN, M/R SYSTEM - NO DEFECTS NOTED."
102166,L/H ENG TAC GEN LEAKS AT SEAL.,REPLACED SEAL IN CARRIER.
102167,L/H ENG TAC GEN LEAKS AT SEAL.,"INSTALLED TACH GEN, LEAK CK'ED OK."
102168,L/H ENG TAC GEN LEAKS AT SEAL.,"REMOVED TACH, CLEANED OLD GASKET. REMOVED GARLOCK SEAL"
102169,"#2, 3, & 4 INTAKES LEAKING ON L/H ENGINE.",INSTALLED NEW INTAKE GASKETS.
102170,"INTAKES #1, 2, 3 & 4 LEAKING ON R/H ENGINE.",INSTALLED NEW INTAKE GASKETS.
102171,L/H O/B BAFFLE SPRING IS BROKEN.,REMOVED & REPLACED SPRING W/ NEW.
102172,#1 & 2 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102173,#3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102174,L/H ENGINE AFT L/H BAFFLE @ OIL COOLER CRACKED.,INSTALLED REPAIRED REAR L/H BAFFLE.
102175,INTAKES #3 & 4 LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS. TORQUED BOLTS TO SPE
102176,"L/H SIDE ENG #2, 3, 4 INTAKES LEAKING.",REPLACED GASKETS.
102177,"CRACK IN FRONT ENGINE BAFFLE, L/H SIDE.",STOP DRILLED CRACK.
102178,"ENGINE BAFFLE SEAL TORN, BOTTOM R/H CORNER.",REPAIRED & SECURED BAFFLE SEAL.
102179,"#2, 3 & 4 ROCKER COVER GASKETS LEAKING, L/H ENGINE.",REMOVED & REPLACED GASKETS.
102180,"#1, 3 & 4 ROCKER COVER GASKETS LEAKING ON R/H ENGINE.",REMOVED & REPLACED GASKETS.
102181,L/H #3 INTAKE GASKET IS LEAKING.,"REMOVED & REPLACED #3 INTAKE GASKET, L/H ENGINE."
102182,R/H #2 & 3 INTAKE GASKETS LEAKING.,"REMOVED & REPLACED #2 & 3 INTAKE GASKETS, R/H ENGINE."
102183,#3 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #3 ROCKER BOX COVER GASKET.
102184,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102185,BROKEN ANCHOR STANDBY ASSY ON #3 CYL.,REMOVED & REPLACED ANCHOR STANDBY ASSY.
102186,TOP ENGINE COOLING FAN BAFFLE PLUGS WORN OUT.,REMOVED & REPLACED BAFFLE PLUGS.
102187,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102188,#3 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102189,"INTAKE GASKETS, CYL #2 & 4, LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
102190,"ROCKER COVER GASKET, CYL #2 & 4, LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
102191,#4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
102192,"CYL #1, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
102193,BROKEN ANCHOR ASSY ON #2 CYL.,REMOVED & REPLACED ANCHOR ASSY ON #2 CYL.
102194,L/H ENGINE #4 SIDE BAFFLE IS MISSING A BOLT.,REPLACED MISSING BOLT.
102195,INTAKE #2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.
102196,"INTAKE 1, 2, 3 & 4 LEAKING ON L/H ENGINE.",INSTALLED NEW INTAKE GASKETS.
102197,"ROCKER COVERS 2, 3 & 4 LEAKING ON R/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.
102198,L/H & R/H AFT #4 BAFFLES HAVE CRACKS.,STOP DRILLED CRACKS.
102199,R/H #3 INTAKE IS LEAKING.,REMOVED & REPLACED R/H #3 INTAKE GASKET.
102200,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED L/H #4 INTAKE GASKET.
102201,L/H ENG #1 & 3 BAFFLE TIE ROD WEARING ON INTERBAFFLE.,REPOSITIONED TIE ROD.
102202,L/H #3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED L/H #3 & 4 ROCKER COVER GASKETS.
102203,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
102204,A/C WILL NOT START.,BROUGHT A/C IN HANGAR TO WARM UP. A/C STARTED.
102205,2 & 4 INTAKES LEAKING.,REMOVED & REPLACED BOTH INTAKE GASKETS.
102206,#2 ROCKER GASKET IS LEAKING.,"REPLACED GASKETS, LEAK CK GOOD."
102207,SCREW LOOSE ON ENGINE BAFFLING.,TIGHTENED SCREW.
102208,#1 ROCKER GASKET IS LEAKING.,REPLACED ROCKER SEAL.
102209,LEFT ENGINE #3 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
102210,#3 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #3 INDUCTION TUBE GASKET.
102211,CYL #3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102212,CYL #1 & 2 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
102213,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
102214,"ENGINE BAFFLE, R/H AFT NEXT TO #3 CYL, NEEDS TO BE SCREWED I","REMOVED OIL DIPSTICK, INSTALLED BAFFLE SCREW, REINSTALL"
102215,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #1 ROCKER COVER GASKET.
102216,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.
102217,"OIL LEAK ON R/H ENGINE, BACK BONE CASE SEAM.",LEAK CK GOOD.
102218,"L/H ENG, L/H BAFFLE TIE ROD DAMAGED.",REPLACED TIE ROD W/ NEW.
102219,L/H ENG #1 ROCKER BOX COVER LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKET.
102220,"OIL LEAK ON R/H ENGINE, BACK BONE CASE SEAM.",REMOVED LEAKING BOLT. CLEANED & SEALED. REINSTALLED BOL
102221,#1 INTAKE GASKET LEAKS.,REMOVED & REPLACED #1 INTAKE GASKET.
102222,R/H ENG LEFT SIDE AFT BAFFLE CRACKED.,LEAK CK GOOD.
102223,R/H ENG LEFT SIDE AFT BAFFLE CRACKED.,DISCONNECTED OIL LINE FROM BAFFLE. REMOVED & REPLACED B
102224,R/H ENG ALL ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ALL R/H ENG ROCKER COVER GASKETS.
102225,R/H ENG #2 INTAKE IS LEAKING.,INSTALLED NEW #2 INTAKE GASKET.
102226,L/H ENG #3 ROCKER COVER IS LEAKING.,"REPLACED GASKET, CLEANED AREA."
102227,#4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
102228,R/H ENGINE BAFFLE PLUG MISSING.,INSTALLED BAFFLE PLUG HOLE DOUBLER FABRICATED FROM LIKE
102229,CYL #1 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102230,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
102231,L/H ENGINE BAFFLE PLUG MISSING.,INSTALLED L/H BAFFLE PLUG DOUBLER & NEW BAFFLE PLUG.
102232,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.
102233,COWL SHOCK MOUNT #1 TORN.,REMOVED & REPLACED COWL SHOCK MOUNT.
102234,"AT FULL POWER (SMOOTHLY APPLIED), ENGINES WOULD VIBRATE VIOL","RAN ENGINES - PROBLEM IS ON L/H ENGINE, RUNNING RATHER"
102235,"AT FULL POWER (SMOOTHLY APPLIED), ENGINES WOULD VIBRATE VIOL","REMOVED L/H CARBURETOR, INSTALLED CARBURETOR"
102236,L/H ENGINE BAFFLE SCREW MISSING.,REPLACED ENGINE BAFFLE SCREW.
102237,#2 CYL INTAKE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.
102238,ACCESSORY PAD BEHIND ALTERNATOR HAS BRACKET INSTALLED W/ NOT,"FOUND TO BE FACTORY INSTALLED, NO FURTHER ACTION REQUIR"
102239,#4 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED #4 INTAKE GASKET ON L/H ENGINE.
102240,"INTAKE LEAKING ON R/H ENGINE, #3.",REMOVED & REPLACED #3 INTAKE GASKET ON R/H ENGINE.
102241,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED #3 ROCKER COVER GASKET ON L/H ENGINE
102242,#2 TO #4 CYL BAFFLE TIE ROD BROKEN ON LEFT ENGINE.,"REMOVED BROKEN END, RETHREADED & SECURED TIE ROD."
102243,BOLT W/ BARREL @ AFT R/H SIDE OF ENGINE MISSING.,INSTALLED NEW BARREL NUT & SCREW.
102244,R/H ENG #3 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
102245,"BOLT MISSING ON #4 CYL BAFFLE, R/H ENGINE.",REPLACED MISSING BOLT.
102246,"ROCKER COVERS 2, 3, 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED GASKETS.
