,index,c5_id,input,head,relation,tail
997,570,19810907057119A,TRIED TO TAKE OFF WITH LONG LINE AND BUCKET ATTACHED. CAUGHT ON TRUCK. SLAMMED HELICOPTER INTO GROUND.             ,HELICOPTER,has part,BUCKET
998,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,FUEL,part of,TANK
999,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,TANK,has part,FUEL
1000,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,TANK,has part,FUEL
1001,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,FUEL,has part,TANK
1002,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,FUEL,has part,TANK
1003,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,TANK,has part,FUEL
1004,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,TANK,has part,TANK
1005,571,19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,TANK,has part,FUEL
1006,572,19810912069639A,FIRST FLIGHT OF AIRCRAFT RESULTED IN CRASH. AIRCRAFT HAD EXPERIENCED TAIL FLUTTER DURING PREVIOUS TESTS.           ,FIRST FLIGHT OF AIRCRAFT,instance of,CRASH
1007,573,19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,PILOT,has part,ELECTRICAL SWITCH
1008,573,19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,ELECTRICAL SWITCH,part of,PILOT
1009,573,19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,ELECTRICAL SWITCH,part of,PILOT
1010,573,19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,PILOT,has part,ELECTRICAL SWITCH
1011,574,19810913058939A,PILOT ATTEMPTED TAKEOFF WITH FLAPS. AIRCRAFT REACHED 200 TO 300 FEET THEN CRASHED OFF AIRPORT.                     ,TAKEOFF,has effect,CRASHED
1012,574,19810913058939A,PILOT ATTEMPTED TAKEOFF WITH FLAPS. AIRCRAFT REACHED 200 TO 300 FEET THEN CRASHED OFF AIRPORT.                     ,CRASHED,has cause,TAKEOFF
1013,575,19811217000399A,"PILOT ATTEMPTED TAKEOFF WITH HEAVY FROST ON AIRCRAFT. AIRCRAFT CLIMBED BRIEFLY, THEN CRASHED.                      ",AIRCRAFT CLIMBED BRIEFLY,subclass of,TAKEOFF
1014,576,19820208001709I,AIRCRAFT TOW BAR BROKE AND AIRCRAFT OVERRAN TUG WHILE BEING TOWED TO GATE.                                         ,TOW BAR,subclass of,AIRCRAFT
1015,577,19820216011739I,UNABLE TO RETRACT NOSE GEAR. RETURNED AND MADE AN OVERWEIGHT LANDING. NOSE GEAR SAFETY PIN NOT REMOVED.            ,NOSE GEAR SAFETY PIN,has part,RETRACT NOSE GEAR
1016,578,19811203078469A,"LOW BATTERY. HAND TURNED PROP TO POSITION STARTER. ENGINE STARTED. UNCHOCKED AIRPLANE, RAN INTO TOWER BUILDING.    ",AIRPLANE,has part,ENGINE
1017,578,19811203078469A,"LOW BATTERY. HAND TURNED PROP TO POSITION STARTER. ENGINE STARTED. UNCHOCKED AIRPLANE, RAN INTO TOWER BUILDING.    ",ENGINE,part of,AIRPLANE
1018,579,19811230088309I,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF. RETURNED. SWITCH IN ARMED POSITION. REVISED CHECKLIST.          ,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF,replaced by,ARMED POSITION
1019,579,19811230088309I,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF. RETURNED. SWITCH IN ARMED POSITION. REVISED CHECKLIST.          ,ARMED POSITION,replaces,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF
1020,580,19820211005489I,"AFTER TAKEOFF, GEAR REFUSED TO RETRACT. LEFT GEAR STRUT WAS FLAT FROM LOOSE VALVE AND SQUAT SWITCH STAYED CLOSED.  ",LEFT GEAR STRUT,opposite of,SQUAT SWITCH
1021,580,19820211005489I,"AFTER TAKEOFF, GEAR REFUSED TO RETRACT. LEFT GEAR STRUT WAS FLAT FROM LOOSE VALVE AND SQUAT SWITCH STAYED CLOSED.  ",SQUAT SWITCH,opposite of,LEFT GEAR STRUT
1022,581,19820221008579I,PILOT PLACED LANDING GEAR SWITCH DOWN. FAILED TO CHECK GREEN LIGHTS AND LANDED GEAR UP. FOUND ALTERNATOR SWITCH OFF,PILOT,has part,GEAR SWITCH
1023,581,19820221008579I,PILOT PLACED LANDING GEAR SWITCH DOWN. FAILED TO CHECK GREEN LIGHTS AND LANDED GEAR UP. FOUND ALTERNATOR SWITCH OFF,GEAR SWITCH,part of,PILOT
1024,582,19820204001319I,ZA PILOT TOOK OFF WITH GEAR PINS STILL IN. RETURNED TO AIRPORT AND HAD THEM REMOVED.                               ,ZA PILOT,item operated,GEAR PINS
1025,582,19820204001319I,ZA PILOT TOOK OFF WITH GEAR PINS STILL IN. RETURNED TO AIRPORT AND HAD THEM REMOVED.                               ,GEAR PINS,operator,ZA PILOT
1026,583,19820127008389I,PILOT TOOK OF WITH TOW BAR ATTACHED. PROP HIT TOW BAR WHEN GEAR WAS RETRACTED. MADE SAFE LANDING.                  ,PILOT,has part,TOW BAR
1027,583,19820127008389I,PILOT TOOK OF WITH TOW BAR ATTACHED. PROP HIT TOW BAR WHEN GEAR WAS RETRACTED. MADE SAFE LANDING.                  ,TOW BAR,part of,PILOT
1028,584,19820108003389I,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          ,APU,significant event,CAUGHT FIRE
1029,584,19820108003389I,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          ,APU,significant event,CAUGHT FIRE
1030,585,19820202005199I,VIBRATION EN ROUTE. DOOR LIGHT CAME ON. TURNING OFF AUTOPILOT LIGHT WENT OFF. BAGGAGE DOOR OPEN. LOST LUGGAGE.     ,BAGGAGE,different from,LUGGAGE
1031,585,19820202005199I,VIBRATION EN ROUTE. DOOR LIGHT CAME ON. TURNING OFF AUTOPILOT LIGHT WENT OFF. BAGGAGE DOOR OPEN. LOST LUGGAGE.     ,LUGGAGE,different from,BAGGAGE
1032,586,19811105071899A,"WARPED LOOSE FUEL CAPS ALLOWED FUEL SIPHONING AND CELL COLLAPSE. ENGINE QUIT, OUT OF FUEL. NIGHT CRASH LANDED.     ",FUEL SIPHONING,has effect,CELL COLLAPSE
1033,586,19811105071899A,"WARPED LOOSE FUEL CAPS ALLOWED FUEL SIPHONING AND CELL COLLAPSE. ENGINE QUIT, OUT OF FUEL. NIGHT CRASH LANDED.     ",CELL COLLAPSE,has cause,FUEL SIPHONING
1034,587,19820106003729I,ENGINE QUIT SHORTLY AFTER TAKEOFF. MADE A FORCED LANDING IN A FIELD. WATER FOUND IN FUEL SYSTEM.                   ,TAKEOFF,product or material produced,FUEL
1035,588,19811114084749I,PILOT LOST CONTROL AFTER TAKEOFF AND DIVED INTO GROUND WHEN 3X 1/4 A/N BOLT CAME OFF. 3 THREADS WERE STRIPPED.     ,TAKEOFF,has cause,BOLT
1036,588,19811114084749I,PILOT LOST CONTROL AFTER TAKEOFF AND DIVED INTO GROUND WHEN 3X 1/4 A/N BOLT CAME OFF. 3 THREADS WERE STRIPPED.     ,BOLT,has effect,TAKEOFF
1037,589,19820131003529A,PILOT CONTINUED FLIGHT INTO ICING CONDITIONS. AIRCRAFT HEAVY WITH ICE DURING LANDING AND GEAR COLLAPSED.           ,AIRCRAFT HEAVY,has effect,GEAR COLLAPSED
1038,589,19820131003529A,PILOT CONTINUED FLIGHT INTO ICING CONDITIONS. AIRCRAFT HEAVY WITH ICE DURING LANDING AND GEAR COLLAPSED.           ,GEAR COLLAPSED,has cause,AIRCRAFT HEAVY
1039,590,19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,TAKEOFF,part of,INVESTIGATION
1040,590,19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,INVESTIGATION,has part,TAKEOFF
1041,590,19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,INVESTIGATION,has part,REFUELING HOSE
1042,590,19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,REFUELING HOSE,part of,INVESTIGATION
1043,591,19820502025009I,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. ",FLEW CROSS COUNTRY,has part,LOGAN
1044,591,19820502025009I,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. ",LOGAN,part of,FLEW CROSS COUNTRY
1045,592,19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,COWLING,has part,AIRCRAFT
1046,592,19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,COWLING,has part,AIRCRAFT
1047,592,19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,AIRCRAFT,part of,COWLING
1048,592,19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,AIRCRAFT,part of,COWLING
1049,593,19820415019009I,ENGINE FAILED TO PRODUCE POWER AND PILOT AUTOROTATED INTO A FIELD. FAILURE WAS THE RESULT OF FUEL STARVATION.      ,FUEL STARVATION,facet of,AUTOROTATED
1050,594,19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,FASTENED COWLING,opposite of,LOOSE COWLING
1051,594,19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,LOOSE COWLING,opposite of,FASTENED COWLING
1052,595,19820420028639I,UNABLE TO RAISE GEAR ON TAKEOFF. RETURNED. FAILED TO REMOVE LANDING GEAR PINS.                                     ,UNABLE TO RAISE GEAR ON TAKEOFF,followed by,RETURNED
1053,595,19820420028639I,UNABLE TO RAISE GEAR ON TAKEOFF. RETURNED. FAILED TO REMOVE LANDING GEAR PINS.                                     ,RETURNED,follows,UNABLE TO RAISE GEAR ON TAKEOFF
1054,596,19820519017529A,"BELIEVED COWLING LOOSE,CLOSED THROTTLE, CRASH LANDED SHORT OF RUNWAY RETURNING. HAD FAILED TO REMOVE ENGINE PLUGS. ",COWLING,has effect,CRASH
1055,596,19820519017529A,"BELIEVED COWLING LOOSE,CLOSED THROTTLE, CRASH LANDED SHORT OF RUNWAY RETURNING. HAD FAILED TO REMOVE ENGINE PLUGS. ",CRASH,has cause,COWLING
1056,597,19820507014589A,"UNSECURED CARGO STRAP BLEW OUT OPEN DOOR AND TANGLED IN TAIL ROTOR, CAUSING LOSS OF CONTROL. MADE HARD AUTO LANDING",CARGO,has part,TAIL ROTOR
1057,597,19820507014589A,"UNSECURED CARGO STRAP BLEW OUT OPEN DOOR AND TANGLED IN TAIL ROTOR, CAUSING LOSS OF CONTROL. MADE HARD AUTO LANDING",TAIL ROTOR,part of,CARGO
1058,598,19820430023609I,ENGINE LOST POWER. PILOT AUTOROTATED INTO WATER. FOUND RED SHOP TOWEL INGESTED BY ENGINE.                          ,PILOT,manufacturer,ENGINE
1059,598,19820430023609I,ENGINE LOST POWER. PILOT AUTOROTATED INTO WATER. FOUND RED SHOP TOWEL INGESTED BY ENGINE.                          ,ENGINE,product or material produced,PILOT
1060,599,19820429023529I,ENGINE QUIT DURING PRACTICE MANEUVER. LANDED IN A FIELD. FAILED TO REMOVE MASKING TAPE OVER FUEL VENT.             ,MANEUVER,subclass of,ENGINE
1061,600,19820602025369I,"ENGINE QUIT ON VECTORS TO ILS APPROACH. LANDED OFF AIRPORT. FUEL CAP IMPROPERLY INSTALLED, SIPHONED, COLLAPSED CELL",SIPHONED,subclass of,CELL
1062,601,19820528025609I,VAPOR FROM RIGHT ENGINE. RETURNED. FOUND LOOSE OIL CAP HAD SIPHONED EIGHT QUARTS OF OIL.                           ,VAPOR,product or material produced,LOOSE OIL
1063,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,TRUCK PAD,has part,GRAPEVINE
1064,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,TRUCK PAD,has part,WIRES
1065,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,GRAPEVINE,part of,TRUCK PAD
1066,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,GRAPEVINE,part of,WIRES
1067,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,WIRES,part of,TRUCK PAD
1068,602,19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,WIRES,has part,GRAPEVINE
1069,603,19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,TANK DRY EN ROUTE,subclass of,ROAD
1070,604,19820603020449A,"PILOT FORGOT TO REMOVE AILERON/ELEVATOR CONTROL LOCK, AIRCRAFT ROLLED INVERTED AND CRASHED AFTER TAKEOFF.          ",AILERON,has part,ELEVATOR CONTROL LOCK
1071,604,19820603020449A,"PILOT FORGOT TO REMOVE AILERON/ELEVATOR CONTROL LOCK, AIRCRAFT ROLLED INVERTED AND CRASHED AFTER TAKEOFF.          ",ELEVATOR CONTROL LOCK,part of,AILERON
1072,605,19820415009459A,MAINTENANCE PUT AIRCRAFT ON FLIGHT LINE WITH GEAR DOORS OPEN. PILOT FAILED TO REMEMDY PRIOR TO TAXI FOR TAKEOFF.   ,TAXI,subclass of,AIRCRAFT
1073,606,19820317004239A,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF CAUSING CRASH.                                      ,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF,has effect,CRASH
1074,606,19820317004239A,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF CAUSING CRASH.                                      ,CRASH,has cause,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF
1075,607,19820529042539A,REAR OF SKID CAUGHT UNDER BOARDWALK ON ATTEMPTED TAKEOFF. HELICOPTER CRASHED AND TURNED. PILOTS STORY DIFFERS.     ,SKID,located in the administrative territorial entity,TAKEOFF
1076,607,19820529042539A,REAR OF SKID CAUGHT UNDER BOARDWALK ON ATTEMPTED TAKEOFF. HELICOPTER CRASHED AND TURNED. PILOTS STORY DIFFERS.     ,TAKEOFF,contains administrative territorial entity,SKID
1077,608,19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",TAKEOFF,has part,REMAINING RUNWAY
1078,608,19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",TAKEOFF,has part,CARBURETOR
1079,608,19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",REMAINING RUNWAY,part of,TAKEOFF
1080,608,19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",CARBURETOR,part of,TAKEOFF
1081,609,19820407008349A,"VIBRATION AFTER LIFTOFF. UNABLE TO CLIMB. LANDED ON GRASS NEAR RUNWAY, STRUCK FENCE. ICE & SNOW ON AIRCRAFT.       ",LIFTOFF,facet of,AIRCRAFT
1082,610,19820310017029I,ENGINE OVERHEATED ON CLIMBOUT. PILOT REMEMBERED HE FORGOT TO REMOVE ENGINE COWLING BIRD PLUGS.                     ,COWLING,subclass of,ENGINE
1083,611,19820311007049I,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,OIL CAP 315510704,located in the administrative territorial entity,MEMPHIS
1084,612,19820422028619I,PILOT FAILED TO SECURE CABIN DOOR. DOOR OPENED IN FLIGHT DUE TO TURBULENCE. MADE PRECAUTIONARY LANDING.            ,TURBULENCE,has effect,FLIGHT
1085,613,19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",LIFTOFF,different from,ELEVATOR
1086,613,19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",ELEVATOR,different from,LIFTOFF
1087,614,19820526019239A,PILOT ATTEMPTED TO ADJUST RUDDER PEDALS DURING CLIMB AND RELEASED GLIDER TOW ROPE. CRASHED DURING EMERGENCY LANDING,PEDALS,subclass of,CLIMB
1088,615,19820520017479A,"ENGINE MISSED ON TAKEOFF ROLL, ABORTED, RAN OFF END OF RUNWAY. HIT DITCH IN OVERRUN. OUTSIDE STORAGE, WATER IN FUEL",TAKEOFF ROLL,instance of,OVERRUN
1089,616,19820418009679A,LOST BOTH ENGINES ON AN IFR CLIMBOUT. CRASHED INTO TREES AND BURNED TRYING TO RETURN. WAS SERVICED WITH JET FUEL.  ,IFR,subclass of,JET
1090,617,19820405009239A,PILOT FORGOT TO REMOVE CONTROL LOCK ON AILERON AND COULN'T CONTROL AIRCRAFT DURING LANDING.                        ,AILERON,subclass of,AIRCRAFT
1091,618,19820503013499A,LOST CONTROL ON LANDING ROLL. STOPPED UPSIDE DOWN IN A DITCH. PARKING BRAKE ON AND OR AIR IN BRAKE SYSTEM FACTORS. ,LANDING ROLL,facet of,PARKING
1092,619,19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,TAKEOFF,has part,ELEVATOR TRIM
1093,619,19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,ELEVATOR TRIM,part of,TAKEOFF
1094,620,19820602020299A,CRASH OCCURRED DURING EMERGENCY LANDING ATTTEMP ENGINE QUIT DUE TO WATER IN FUEL.                                  ,CRASH OCCURRED DURING EMERGENCY LANDING ATTTEMP ENGINE QUIT DUE TO WATER IN FUEL.,has cause,EMERGENCY
1095,620,19820602020299A,CRASH OCCURRED DURING EMERGENCY LANDING ATTTEMP ENGINE QUIT DUE TO WATER IN FUEL.                                  ,EMERGENCY,has effect,CRASH OCCURRED DURING EMERGENCY LANDING ATTTEMP ENGINE QUIT DUE TO WATER IN FUEL.
1096,621,19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ",PILOT FOUND CONTROLS,location,TAKEOFF
1097,622,19820510017039A,PAIR OF PLIERS SLID INTO ELEVATOR BELL CRANK DURING STALLS. JAMMED ELEVATOR IN FULL UP POSITION. STRUCK TREES.     ,JAMMED ELEVATOR,instance of,ELEVATOR
1098,623,19820704028269A,"PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE, GLIDER HIT HARD DURING EMERGENCY LANDING.                       ",PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE,has effect,GLIDER HIT HARD DURING EMERGENCY LANDING
1099,623,19820704028269A,"PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE, GLIDER HIT HARD DURING EMERGENCY LANDING.                       ",GLIDER HIT HARD DURING EMERGENCY LANDING,has cause,PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE
1100,624,19820821042789A,NOSE GEAR FORK ASSEMBLY BROKE WHEN IT HIT BERM OF CROSSING RUNWAY DURING LANDING.                                  ,NOSE GEAR,part of,CROSSING RUNWAY
1101,624,19820821042789A,NOSE GEAR FORK ASSEMBLY BROKE WHEN IT HIT BERM OF CROSSING RUNWAY DURING LANDING.                                  ,CROSSING RUNWAY,has part,NOSE GEAR
1102,625,19820616022519A,"MADE TAKEOFF, FORGOT SLING LINE WAS ATTACHED TO DOG HOUSE. STOPPED CLIMBING AT END OF LINE. CRASHED ON DOG HOUSE.  ",TAKEOFF,has part,SLING
1103,625,19820616022519A,"MADE TAKEOFF, FORGOT SLING LINE WAS ATTACHED TO DOG HOUSE. STOPPED CLIMBING AT END OF LINE. CRASHED ON DOG HOUSE.  ",SLING,part of,TAKEOFF
1104,626,19820813038159A,"PILOT WAS MAKING SINGLE ENGINE APPROACH FOR LANDING, AIRCRAFT PULLED ON RUNWAY AND CRASH OCCURRED DURING GOAROUND. ",PILOT,uses,AIRCRAFT
1105,626,19820813038159A,"PILOT WAS MAKING SINGLE ENGINE APPROACH FOR LANDING, AIRCRAFT PULLED ON RUNWAY AND CRASH OCCURRED DURING GOAROUND. ",AIRCRAFT,used by,PILOT
1106,627,19820811036729A,CRASH OCCURRED DURING EXTERNAL LOAD PRACTICE LIFT OFF. LOAD RELEASE DID NOT FUNCTION.                              ,Crash OCCURRED,instance of,LOAD PRACTICE
1107,628,19820618024699A,STUDENT GLIDER PILOT FAILED TO LATCH SPOILERS PRIOR TO TAKEOFF. MISUNDERSTOOD TOW PILOT SIGNAL. RELEASED TOW.      ,TAKEOFF,instance of,GLIDER
1108,629,19820730059869I,"MISUSED AUTOPILOT.. CAUSED FULL PITCH UP. FAILED TO PULL CIRCUIT BREAKER. MISUSED GEAR HANDLE, LANDED GEAR UP.     ",PITCH UP,facet of,AUTOPILOT
1109,630,19820829052799I,RIGHT ENGINE OIL QUANITY DECREASED. DIVERTED TO HOUSTON. FOUND OIL CAP OFF ON RIGHT ENGINE.                        ,RIGHT ENGINE,located in the administrative territorial entity,HOUSTON
1110,630,19820829052799I,RIGHT ENGINE OIL QUANITY DECREASED. DIVERTED TO HOUSTON. FOUND OIL CAP OFF ON RIGHT ENGINE.                        ,RIGHT ENGINE,located in the administrative territorial entity,HOUSTON
1111,631,19820809038749A,CLIMB PERFORMANCE DIMINISHED BY WATER DROPLETS ON LAMINA FLOW WING. STRUCK TREES OFF END OF RUNWAY ON TAKEOFF CLIMB,TAKEOFF CLIMB,instance of,CLIMB
1112,632,19820818039269A,REPORT INDICATES FUEL TANK CAP NOT SECURED. POSSIBLE FUEL LEAK DURING INVERTED FLIGHT. FIRE ERUPTED. LOST CONTROL. ,FUEL LEAK,has effect,INVERTED FLIGHT
1113,633,19820724035499A,GLIDER CRASHED DURING TAKEOFF. ELEVATORS HAD NOT BEEN CONNECTED DURING ASSEMBLY.                                   ,GLIDER CRASHED DURING TAKEOFF,operator,ELEVATORS
1114,634,19820822040209A,LOST CONTROL ON LANDING. AIRPLANE TURNED SIDEWAYS AND COLLAPSED LEFT GEAR RUDDER JAMMED BY UNSTOWED STARTER CRANK. ,STARTER CRANK,subclass of,GEAR RUDDER
1115,635,19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",BAGGAGE,part of,CARGO
1116,635,19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",CARGO,has part,BAGGAGE
1117,635,19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",CARGO,has part,BAGGAGE
1118,635,19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",BAGGAGE,part of,CARGO
1119,636,19820702036129I,RAN OUT OF FUEL EN ROUTE. SUCCESSFULL FORCED LANDING. FOUND FUEL CAP MISSING.                                      ,FUEL EN ROUTE,named after,FUEL
1120,636,19820702036129I,RAN OUT OF FUEL EN ROUTE. SUCCESSFULL FORCED LANDING. FOUND FUEL CAP MISSING.                                      ,FUEL,named after,FUEL EN ROUTE
1121,637,19820809038619A,PILOT MADE EMERGENCY TRANSMISSION STATING ENGINE COWLING LOST. CRASH OCCURRED DURING ATTEMPTED LANDING IN FIELD.   ,PILOT,has part,ENGINE
1122,637,19820809038619A,PILOT MADE EMERGENCY TRANSMISSION STATING ENGINE COWLING LOST. CRASH OCCURRED DURING ATTEMPTED LANDING IN FIELD.   ,ENGINE,part of,PILOT
1123,638,19820620036089I,"NOISE IN AIRCRAFT, PREPARED TO LAND IN A FIELD, FOUND POP CAN UNDER PEDALS. FLEW THRU POWERLINE. LANDED AT BASE.   ",AIRCRAFT,has part,POP CAN
