c5,c119,c119_entity_linking
19810720043449A,RAN OUT OF FUEL EN ROUTE. CRASHED ON FORCED LANDING. REPORTED FUEL STOLEN AT LAST STOP. FAILED TO CHECK FUEL.      ,"[['R', Entity not linked to a knowledge base, None], ['FUEL EN ROUTE', Entity not linked to a knowledge base, 'GPE'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19810624044319I,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF FUEL. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT ,"[['ZA', Entity not linked to a knowledge base, None], ['OT', Entity not linked to a knowledge base, 'PERSON'], ['FI', Entity not linked to a knowledge base, 'GPE'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['NIGHT', None, 'TIME']]"
19810719064149I,NOSE GEAR INDICATED UNSAFE. COLLAPSED ON LANDING. LOW NOSE STRUT BINDING ON DRAG BRACE. DRAG BRACE PULLED LOOSE.   ,[]
19810622037779A,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,[]
19810627056699I,"DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.                          ","[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['NIGHT', None, 'TIME']]"
19810802046809A,ENGINES QUIT DUE TO FUEL VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.                           ,[]
19810731058459A,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.                          ,[]
19810723053069I,NOSE BAGGAGE DOOR OPENED ON TAKEOFF AS LUGGAGE SHIFTED AGAINST DOOR. LUGGAGE FELL OUT. ABORTED. ADDED EXTRA LATCH. ,"[['EOFF', Entity not linked to a knowledge base, None]]"
19810615044999I,ABORTED TAKEOFF DUE TO WARNING HORN. RECYCLED FLAPS HORN STOPPED.                                                  ,[]
19810623052439I,ZA UNLATCHED ACCESS DOOR TORE OFF IN FLIGHT. MECHANIC FAILED TO FASTEN. PILOT FAILED TO CHECK.                     ,"[['ZA', Entity not linked to a knowledge base, None], ['MECHANIC', Entity(wikidata_entity_id=Q327029, wikipedia_entity_title=Mechanic), None]]"
19810719042119A,UNABLE TO STOP RIGHT DRIFT ON TAKEOFF CLIMB WITH CAMERA MOUNTED ON WING STRUT. TRIP LINE ON WING REDUCED LIFT.     ,[]
19810727060849A,TRIED TO TAKE OFF WITH TIEDOWN ROPE ATTACHED TO SKID. LOST CONTROL. HELICOPTER ROLLED OFF TOP OF BUILDING.         ,[]
19810630037449A,TRIED TO TAKE OFF WITH UNDER INFLATED TIRE. TIRE WENT FLAT. LOST CONTROL. RAN OFF RUNWAY AND OVERTURNED.           ,[]
19810625036259A,"TRIED TO TAKEOFF FROM TRAILER-BED WITH ONE SKID TIE-DOWN STILL FASTENED. HELICOPTER TOPPLED OVER, HIT GROUND CREW. ","[['ONE', None, 'CARDINAL']]"
19810710045939A,"UNABLE TO ROTATE. ABORTED TOO LATE. HIT AUTO OFF END OF RUNWAY. FACTORS; PARK BRAKE ON, TRIM NOSE DOWN, AIR DENSITY",[]
19810528031229A,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,[]
19810706038519A,LANDING GEAR OLEO STRUT CAME APART DURING TAKEOFF. AIRCRAFT GEAR COLLAPSED AND AIRPLANE NOSED OVER DURING LANDING. ,"[['OLEO STRUT', Entity(wikidata_entity_id=Q7086401, wikipedia_entity_title=Oleo strut), None]]"
19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",[]
19810814063719I,ZA ZG ZH ZK HEAVY RAIN WITH OIL ON WINDSHIELD. LANDED OK. NO OIL LEAKS. ALSO NON COMPLIANCE WITH 91.27 AND 91.31.  ,"[['HEAVY RAIN', Entity not linked to a knowledge base, 'PERSON'], ['91.27', None, 'CARDINAL'], ['91.31', None, 'CARDINAL']]"
19810816052469I,"GEAR SWITCH LEFT IN UP POSITION BY MAINTENANCE, UNOTICED BY PILOT. GEAR COLLAPSED ON TAKEOFF ROLL.                 ","[['AR', Entity(wikidata_entity_id=Q6889079, wikipedia_entity_title=AR-15 style rifle), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19810914071419I,"JACK PAD FELL FROM WING DURING TAKEOFF, STRUCK AND DAMAGED REAR PROPELLER. PILOT COULD NOT SYNCRONIZE PROPELLERS.  ","[['JACK PAD FELL', Entity not linked to a knowledge base, 'PERSON']]"
19811026083619I,RIGHT MAIN GEAR COLLAPSED ON TAKEOFF ROLL. PILOT AWARE OF GEAR PROBLEM. NO CORRECTIVE ACTION OR SIGN OFF.          ,"[['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19811030085939I,LOUD NOISES ON GEAR RETRACTION ON TAKEOFF. UNSCHEDULED SAFE LANDING MADE. FOUND TOWBAR PIN IN NOSEWHEEL AXLE.      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['NOSEWHEEL AXLE', Entity not linked to a knowledge base, 'GPE']]"
19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",[]
19810831064689I,DURING TAXI PILOT MISUNDERSTOOD INSTRUCTIONS. TAXXIED ON ROAD STRUCK SIGN. THIS IS FIFTH OCCURRENCE ON THIS AIRPORT,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['FIFTH', None, 'CARDINAL']]"
19810913072109I,"ZA ZG SUSPECTED FUEL LEAK, RETURNED, NO FUEL LEAK. CORK TYPE VISUAL INDICATOR STUCK, THEN DROPPED SUDDENLY.        ","[['ZA', Entity not linked to a knowledge base, None]]"
19811028076149I,"GOT OUT OF AIRCRAFT TO TURN PROP THRU. ENGINE STARTED, AIRPLANE COLLIDED WITH PARKED AIRCRAFT. MAGS CHECKED NORMAL.",[]
19811017077579I,ENGINE COWLING INSPECTION DOOR CAME OFF ON TAKEOFF BECAUSE IT WAS NOT PROPERLY FASTENED. PILOT RETURNED TO PAD.    ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['PAD', Entity not linked to a knowledge base, None]]"
19810906078699I,AIRCRAFT FORCED TO LAND DUE TO FUEL EXHAUSTION. FLIGHT AND GROUND CREWS FAILED TO DETERMINE FUEL ON BOARD.         ,[]
19810912066689I,DURING TAXI RIGHT WHEEL WENT OFF CONCRETE INTO HIDDEN DITCH. DAMAGED PROPELLER.                                    ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]"
19810925065659A,PILOT ATTEMPTED ILS APPROACH WHEN AIRCRAFT DID NOT HAVE GLIDE SLOPE RECEIVER CAPABILITIES.                         ,[]
19810915059859I,"ZA ENGINE QUIT, LANDED OK. FOUND WATER IN FUEL TANK.                                                               ","[['ZA ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL TANK', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), 'GPE']]"
19810818050309A,"DURING PRECAUTIONARY LANDING, WING STRUCK HIGH VEGETATION ON SIDE OF RUNWAY CAUSING LOSS OF DIRECTIONAL CONTROL.   ",[]
19811021083749I,LOUD POP AND VIBRATION IN FLIGHT. STRUCK WING ON A TREE LANDING ON A ROAD. FUEL TANK COVER OPEN. NOT SECURED.      ,[]
19810923070769A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN CLEARING OFF END OF RUNWAY. FOUND FUEL TANK VENTS CLOGGED BY MUD-DAUBERS.  ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['MUD-DAUBERS', Entity not linked to a knowledge base, None]]"
19810831053449A,AIRCRAFT NOSE WHEEL BROKE OFF AFTER PILOT ABORTED TAKEOFF. ELEVATOR TRIM POSITION WAS FACTOR.                      ,"[['NOSE WHEEL BROKE', Entity not linked to a knowledge base, None]]"
19810906055409A,BAGGAGE DOOR CAME OPEN ON TAKEOFF ROLL. ABORTED LATE. RAN OFF END OF RUNWAY. HAD FAILED TO SECURE DOOR PROPERLY.   ,"[['BAGGAGE', Entity(wikidata_entity_id=Q865054, wikipedia_entity_title=Baggage), 'GPE'], ['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19810912058779A,AIRCRAFT WHEEL HIT HOLE IN RUNWAY SHEARING OFF GEAR AND CAUSING AIRCRAFT TO VEER OFF RUNWAY.                       ,"[['WHEEL', Entity(wikidata_entity_id=Q446, wikipedia_entity_title=Wheel), None], ['HOLE', Entity not linked to a knowledge base, 'PERSON']]"
19810910058419A,"AFTER ENGINE STARTED RUNNING ROUGH ON APPROACH, PILOT LANDED SHORT OF RUNWAY. ENGINE WAS NOT FEATHERED.            ","[['ENGINE', Entity not linked to a knowledge base, None], ['ENGINE', Entity not linked to a knowledge base, None]]"
19810907057119A,TRIED TO TAKE OFF WITH LONG LINE AND BUCKET ATTACHED. CAUGHT ON TRUCK. SLAMMED HELICOPTER INTO GROUND.             ,[]
19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,"[['UEL', Entity not linked to a knowledge base, 'PERSON'], ['EL', Entity not linked to a knowledge base, None], ['375 POUNDS', None, 'QUANTITY']]"
19810912069639A,FIRST FLIGHT OF AIRCRAFT RESULTED IN CRASH. AIRCRAFT HAD EXPERIENCED TAIL FLUTTER DURING PREVIOUS TESTS.           ,"[['FIRST', None, 'ORDINAL']]"
19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,[]
19810913058939A,PILOT ATTEMPTED TAKEOFF WITH FLAPS. AIRCRAFT REACHED 200 TO 300 FEET THEN CRASHED OFF AIRPORT.                     ,"[['200 TO 300 FEET', None, 'QUANTITY']]"
19811217000399A,"PILOT ATTEMPTED TAKEOFF WITH HEAVY FROST ON AIRCRAFT. AIRCRAFT CLIMBED BRIEFLY, THEN CRASHED.                      ","[['Y', Entity not linked to a knowledge base, None]]"
19820208001709I,AIRCRAFT TOW BAR BROKE AND AIRCRAFT OVERRAN TUG WHILE BEING TOWED TO GATE.                                         ,"[['BAR BROKE', Entity not linked to a knowledge base, None], ['AN TUG', Entity not linked to a knowledge base, None]]"
19820216011739I,UNABLE TO RETRACT NOSE GEAR. RETURNED AND MADE AN OVERWEIGHT LANDING. NOSE GEAR SAFETY PIN NOT REMOVED.            ,[]
19811203078469A,"LOW BATTERY. HAND TURNED PROP TO POSITION STARTER. ENGINE STARTED. UNCHOCKED AIRPLANE, RAN INTO TOWER BUILDING.    ",[]
19811230088309I,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF. RETURNED. SWITCH IN ARMED POSITION. REVISED CHECKLIST.          ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19820211005489I,"AFTER TAKEOFF, GEAR REFUSED TO RETRACT. LEFT GEAR STRUT WAS FLAT FROM LOOSE VALVE AND SQUAT SWITCH STAYED CLOSED.  ","[['STRUT', Entity(wikidata_entity_id=Q2039332, wikipedia_entity_title=Strut), None]]"
19820221008579I,PILOT PLACED LANDING GEAR SWITCH DOWN. FAILED TO CHECK GREEN LIGHTS AND LANDED GEAR UP. FOUND ALTERNATOR SWITCH OFF,[]
19820204001319I,ZA PILOT TOOK OFF WITH GEAR PINS STILL IN. RETURNED TO AIRPORT AND HAD THEM REMOVED.                               ,"[['ZA', Entity not linked to a knowledge base, None]]"
19820127008389I,PILOT TOOK OF WITH TOW BAR ATTACHED. PROP HIT TOW BAR WHEN GEAR WAS RETRACTED. MADE SAFE LANDING.                  ,[]
19820108003389I,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          ,"[['APU', Entity not linked to a knowledge base, 'ORG'], ['BEGAN TAXI', Entity not linked to a knowledge base, 'PERSON'], ['APU', Entity not linked to a knowledge base, None], ['APU', Entity not linked to a knowledge base, None]]"
19820202005199I,VIBRATION EN ROUTE. DOOR LIGHT CAME ON. TURNING OFF AUTOPILOT LIGHT WENT OFF. BAGGAGE DOOR OPEN. LOST LUGGAGE.     ,[]
19811105071899A,"WARPED LOOSE FUEL CAPS ALLOWED FUEL SIPHONING AND CELL COLLAPSE. ENGINE QUIT, OUT OF FUEL. NIGHT CRASH LANDED.     ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['ENGINE', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19820106003729I,ENGINE QUIT SHORTLY AFTER TAKEOFF. MADE A FORCED LANDING IN A FIELD. WATER FOUND IN FUEL SYSTEM.                   ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19811114084749I,PILOT LOST CONTROL AFTER TAKEOFF AND DIVED INTO GROUND WHEN 3X 1/4 A/N BOLT CAME OFF. 3 THREADS WERE STRIPPED.     ,"[['3X 1/4 A/', None, 'QUANTITY']]"
19820131003529A,PILOT CONTINUED FLIGHT INTO ICING CONDITIONS. AIRCRAFT HEAVY WITH ICE DURING LANDING AND GEAR COLLAPSED.           ,[]
19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,"[['ELICOPTER', Entity not linked to a knowledge base, None], ['AK', Entity(wikidata_entity_id=Q37116, wikipedia_entity_title=AK-47), None], ['FF', Entity not linked to a knowledge base, None], ['HOSE', Entity not linked to a knowledge base, None]]"
19820502025009I,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. ","[['LOGAN', Entity not linked to a knowledge base, None]]"
19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19820415019009I,ENGINE FAILED TO PRODUCE POWER AND PILOT AUTOROTATED INTO A FIELD. FAILURE WAS THE RESULT OF FUEL STARVATION.      ,[]
19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,"[['ISLAND', Entity(wikidata_entity_id=Q192626, wikipedia_entity_title=Hawaiian Islands), 'GPE']]"
19820420028639I,UNABLE TO RAISE GEAR ON TAKEOFF. RETURNED. FAILED TO REMOVE LANDING GEAR PINS.                                     ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19820519017529A,"BELIEVED COWLING LOOSE,CLOSED THROTTLE, CRASH LANDED SHORT OF RUNWAY RETURNING. HAD FAILED TO REMOVE ENGINE PLUGS. ",[]
19820507014589A,"UNSECURED CARGO STRAP BLEW OUT OPEN DOOR AND TANGLED IN TAIL ROTOR, CAUSING LOSS OF CONTROL. MADE HARD AUTO LANDING","[['CARGO STRAP', Entity not linked to a knowledge base, None]]"
19820430023609I,ENGINE LOST POWER. PILOT AUTOROTATED INTO WATER. FOUND RED SHOP TOWEL INGESTED BY ENGINE.                          ,"[['ENGINE', Entity not linked to a knowledge base, None], ['ENGINE', Entity not linked to a knowledge base, 'PERSON']]"
19820429023529I,ENGINE QUIT DURING PRACTICE MANEUVER. LANDED IN A FIELD. FAILED TO REMOVE MASKING TAPE OVER FUEL VENT.             ,"[['FUEL VENT', Entity not linked to a knowledge base, None]]"
19820602025369I,"ENGINE QUIT ON VECTORS TO ILS APPROACH. LANDED OFF AIRPORT. FUEL CAP IMPROPERLY INSTALLED, SIPHONED, COLLAPSED CELL","[['LS', Entity not linked to a knowledge base, None], ['EL', Entity not linked to a knowledge base, None]]"
19820528025609I,VAPOR FROM RIGHT ENGINE. RETURNED. FOUND LOOSE OIL CAP HAD SIPHONED EIGHT QUARTS OF OIL.                           ,"[['VAPOR', Entity(wikidata_entity_id=Q255722, wikipedia_entity_title=Vapor), None], ['EIGHT QU', None, 'CARDINAL']]"
19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,"[['GR', Entity not linked to a knowledge base, None], ['EL', Entity(wikidata_entity_id=Q2633778, wikipedia_entity_title=Elevation), None]]"
19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,"[['ONE', None, 'CARDINAL'], ['UEL', Entity(wikidata_entity_id=Q3829231, wikipedia_entity_title=United Empire Loyalist), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19820603020449A,"PILOT FORGOT TO REMOVE AILERON/ELEVATOR CONTROL LOCK, AIRCRAFT ROLLED INVERTED AND CRASHED AFTER TAKEOFF.          ",[]
19820415009459A,MAINTENANCE PUT AIRCRAFT ON FLIGHT LINE WITH GEAR DOORS OPEN. PILOT FAILED TO REMEMDY PRIOR TO TAXI FOR TAKEOFF.   ,"[['TAXI', Entity(wikidata_entity_id=Q1421250, wikipedia_entity_title=Taxiing), None], ['TAKEO', Entity not linked to a knowledge base, None]]"
19820317004239A,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF CAUSING CRASH.                                      ,"[['SEAT', Entity not linked to a knowledge base, None]]"
19820529042539A,REAR OF SKID CAUGHT UNDER BOARDWALK ON ATTEMPTED TAKEOFF. HELICOPTER CRASHED AND TURNED. PILOTS STORY DIFFERS.     ,[]
19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19820407008349A,"VIBRATION AFTER LIFTOFF. UNABLE TO CLIMB. LANDED ON GRASS NEAR RUNWAY, STRUCK FENCE. ICE & SNOW ON AIRCRAFT.       ","[['IFTOFF', Entity not linked to a knowledge base, None], ['GRASS', Entity(wikidata_entity_id=Q43238, wikipedia_entity_title=Poaceae), None]]"
19820310017029I,ENGINE OVERHEATED ON CLIMBOUT. PILOT REMEMBERED HE FORGOT TO REMOVE ENGINE COWLING BIRD PLUGS.                     ,[]
19820311007049I,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,"[['PHIS', Entity(wikidata_entity_id=Q6954140, wikipedia_entity_title=NHS Health Scotland), 'ORG'], ['3', None, 'CARDINAL']]"
19820422028619I,PILOT FAILED TO SECURE CABIN DOOR. DOOR OPENED IN FLIGHT DUE TO TURBULENCE. MADE PRECAUTIONARY LANDING.            ,"[['CABIN', Entity(wikidata_entity_id=Q695207, wikipedia_entity_title=Log cabin), None]]"
19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ","[['IM', Entity not linked to a knowledge base, 'GPE'], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19820526019239A,PILOT ATTEMPTED TO ADJUST RUDDER PEDALS DURING CLIMB AND RELEASED GLIDER TOW ROPE. CRASHED DURING EMERGENCY LANDING,[]
19820520017479A,"ENGINE MISSED ON TAKEOFF ROLL, ABORTED, RAN OFF END OF RUNWAY. HIT DITCH IN OVERRUN. OUTSIDE STORAGE, WATER IN FUEL","[['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['EL', Entity(wikidata_entity_id=Q2633778, wikipedia_entity_title=Elevation), None]]"
19820418009679A,LOST BOTH ENGINES ON AN IFR CLIMBOUT. CRASHED INTO TREES AND BURNED TRYING TO RETURN. WAS SERVICED WITH JET FUEL.  ,"[['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), 'PERSON']]"
19820405009239A,PILOT FORGOT TO REMOVE CONTROL LOCK ON AILERON AND COULN'T CONTROL AIRCRAFT DURING LANDING.                        ,"[['AILERON', Entity(wikidata_entity_id=Q509379, wikipedia_entity_title=Aileron), None]]"
19820503013499A,LOST CONTROL ON LANDING ROLL. STOPPED UPSIDE DOWN IN A DITCH. PARKING BRAKE ON AND OR AIR IN BRAKE SYSTEM FACTORS. ,[]
19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,[]
19820602020299A,CRASH OCCURRED DURING EMERGENCY LANDING ATTTEMP ENGINE QUIT DUE TO WATER IN FUEL.                                  ,"[['ATTTEMP', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['172', None, 'CARDINAL']]"
19820510017039A,PAIR OF PLIERS SLID INTO ELEVATOR BELL CRANK DURING STALLS. JAMMED ELEVATOR IN FULL UP POSITION. STRUCK TREES.     ,[]
19820704028269A,"PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE, GLIDER HIT HARD DURING EMERGENCY LANDING.                       ","[['50 FOOT', None, 'QUANTITY'], ['GLIDER', Entity(wikidata_entity_id=Q180173, wikipedia_entity_title=Glider (sailplane)), None]]"
19820821042789A,NOSE GEAR FORK ASSEMBLY BROKE WHEN IT HIT BERM OF CROSSING RUNWAY DURING LANDING.                                  ,"[['NOSE GEAR FORK ASSEMBLY BROKE', Entity not linked to a knowledge base, None]]"
19820616022519A,"MADE TAKEOFF, FORGOT SLING LINE WAS ATTACHED TO DOG HOUSE. STOPPED CLIMBING AT END OF LINE. CRASHED ON DOG HOUSE.  ","[['DOG', Entity(wikidata_entity_id=Q144, wikipedia_entity_title=Dog), None], ['DOG', Entity(wikidata_entity_id=Q144, wikipedia_entity_title=Dog), None]]"
19820813038159A,"PILOT WAS MAKING SINGLE ENGINE APPROACH FOR LANDING, AIRCRAFT PULLED ON RUNWAY AND CRASH OCCURRED DURING GOAROUND. ","[['PILOT', Entity(wikidata_entity_id=Q2095549, wikipedia_entity_title=Aircraft pilot), 'PERSON']]"
